#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
00001A;AMBERIEU EN BUGEY;Bureau de poste;38 RUE ALEXANDRE BERARD;;BP 602;01500;AMBERIEU EN BUGEY;FRANCE;45.9596;5.35802;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
00002A;AMBERIEU EN DOMBES BP;Bureau de poste;240 RUE GOMBETTE;;;01330;AMBERIEUX EN DOMBES;FRANCE;45.996391;4.903349;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00003A;AMBRONAY BP;Bureau de poste;PLACE DE LA BOUVERIE;;;01500;AMBRONAY;FRANCE;46.0061;5.36085;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui
00004A;ANGLEFORT AP;Relais poste commerçant; ; ; ;01350;ANGLEFORT;FRANCE;45.9133;5.8089;Géocodé au milieu de la rue;0450564460;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00005A;ARBENT BP;Bureau de poste;56 RUE DU GENERAL ANDREA;;;01100;ARBENT;FRANCE;46.295031;5.680664;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00006A;ARGIS AP;Relais poste commerçant;LES RAISINS D OR;HOTEL RESTAURANT;;01230;ARGIS;FRANCE;45.933;5.49078;Géocodé au centre de la commune;0474365112;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00007A;BELLEGARDE ARLOD BP;Bureau de poste;16 RUE CENTRALE;;;01200;BELLEGARDE SUR VALSERINE;FRANCE;46.097558;5.815029;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00008A;ARS SUR FORMANS BP;Bureau de poste;RUE JEAN MARIE VIANNEY;;;01480;ARS SUR FORMANS;FRANCE;45.9929;4.82172;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00009A;ARTEMARE BP;Bureau de poste;13 RUE NEUVE;;;01510;ARTEMARE;FRANCE;45.8741;5.69329;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui
00010A;ATTIGNAT BP;Bureau de poste;83 RUE DE L ANCIEN MARCHE;;;01340;ATTIGNAT;FRANCE;46.2893;5.15864;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00011A;BAGE LE CHATEL BP;Bureau de poste;RUE CONDAMNALE;;;01380;BAGE LE CHATEL;FRANCE;46.307695;4.92961;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00012A;BEAUPONT AP;Relais poste commerçant; ; ; ;01270;BEAUPONT;FRANCE;46.4103;5.26445;Géocodé au centre de la commune;0474512067;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00013A;BEAUREGARD AP;Agence postale commnunale;99 RUE HECTOR BERLIOZ;MAIRIE;;01480;BEAUREGARD;FRANCE;46.002913;4.751099;Géocodé au numéro;0474607661;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00014A;BELLIGNAT BP;Bureau de poste;1 AVENUE DE LA GARE;;;01100;BELLIGNAT;FRANCE;46.241585;5.628457;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00015A;BELIGNEUX CAMP DE LA VALBONNE BP;Bureau de poste;CAMP MILITAIRE LA VALBONNE; ; ;01360;BELIGNEUX;FRANCE;45.849;5.12471;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
00016A;BELLEGARDE SUR VALSERINE PAL;Bureau de poste;52 B RUE DE LA REPUBLIQUE;;;01200;BELLEGARDE SUR VALSERINE;FRANCE;46.1071;5.82469;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
00017A;BELLEY;Bureau de poste;1 BOULEVARD DU MAIL;;;01300;BELLEY;FRANCE;45.7608;5.68797;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
00018A;BEREYZIAT AP;Relais poste commerçant;LE BOURG; ; ;01340;BEREZIAT;FRANCE;46.3681;5.04498;Géocodé au centre de la commune;0474505485;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00019A;BETTANT AP;Relais poste commerçant;RUE DE LA POSTE;;;01500;BETTANT;FRANCE;45.9434;5.36432;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00020A;BEYNOST BP;Bureau de poste;107 RUE DU MIDI;;;01700;BEYNOST;FRANCE;45.8365;4.9999;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00021A;BILLIAT AP;Relais poste commerçant; ; ; ;01200;BILLIAT;FRANCE;46.0775;5.78444;Géocodé au milieu de la rue;0450599640;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00022A;BIZIAT AP;Agence postale commnunale; ; ; ;01290;BIZIAT;FRANCE;46.2176;4.94274;Géocodé au centre de la commune;0474501071;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00023A;LA BOISSE AP;Agence postale commnunale;31 PLACE DE LA MAIRIE; ; ;01120;LA BOISSE;FRANCE;45.8418;5.03248;Géocodé au numéro;0478068405;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
